[admin.py:29] - 2023-09-24 12:21:14,667 - INFO - isUserAdmin - CheckTokenMembership returned: False
[builder.pyw:603] - 2023-09-24 12:21:14,667 - ERROR - File must be run with admin privileges
[admin.py:70] - 2023-09-24 12:21:14,682 - DEBUG - Defaulting to runAsAdmin command line: ['C:\\Users\\Alexander\\AppData\\Local\\Microsoft\\WindowsApps\\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\\python.exe', '.\\builder.pyw']
[admin.py:80] - 2023-09-24 12:21:14,682 - INFO - Running command 'C:\\Users\\Alexander\\AppData\\Local\\Microsoft\\WindowsApps\\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\\python.exe' - '.\\builder.pyw'
[admin.py:29] - 2023-09-24 12:21:17,307 - INFO - isUserAdmin - CheckTokenMembership returned: True
[PngImagePlugin.py:202] - 2023-09-24 12:21:17,421 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2023-09-24 12:21:17,421 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2023-09-24 12:21:17,421 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:202] - 2023-09-24 12:21:17,421 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2023-09-24 12:21:17,421 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2023-09-24 12:21:17,421 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:202] - 2023-09-24 12:21:17,422 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2023-09-24 12:21:17,422 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2023-09-24 12:21:17,422 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:202] - 2023-09-24 12:21:17,422 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2023-09-24 12:21:17,422 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2023-09-24 12:21:17,422 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:202] - 2023-09-24 12:21:17,422 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:202] - 2023-09-24 12:21:17,422 - DEBUG - STREAM b'IDAT' 91 766
[PngImagePlugin.py:202] - 2023-09-24 12:21:17,422 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2023-09-24 12:21:17,422 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2023-09-24 12:21:17,422 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:202] - 2023-09-24 12:21:17,423 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:202] - 2023-09-24 12:21:17,423 - DEBUG - STREAM b'IDAT' 91 601
[PngImagePlugin.py:202] - 2023-09-24 12:21:17,423 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2023-09-24 12:21:17,423 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2023-09-24 12:21:17,423 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:202] - 2023-09-24 12:21:17,423 - DEBUG - STREAM b'pHYs' 70 9
[PngImagePlugin.py:202] - 2023-09-24 12:21:17,423 - DEBUG - STREAM b'IDAT' 91 1063
[admin.py:92] - 2023-09-24 12:21:21,958 - INFO - Process handle <PyHANDLE:1728> returned code 0
[admin.py:29] - 2023-09-24 12:23:04,895 - INFO - isUserAdmin - CheckTokenMembership returned: False
[builder.pyw:603] - 2023-09-24 12:23:04,895 - ERROR - File must be run with admin privileges
[admin.py:70] - 2023-09-24 12:23:04,903 - DEBUG - Defaulting to runAsAdmin command line: ['C:\\Users\\Alexander\\AppData\\Local\\Microsoft\\WindowsApps\\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\\python.exe', '.\\builder.pyw']
[admin.py:80] - 2023-09-24 12:23:04,903 - INFO - Running command 'C:\\Users\\Alexander\\AppData\\Local\\Microsoft\\WindowsApps\\PythonSoftwareFoundation.Python.3.11_qbz5n2kfra8p0\\python.exe' - '.\\builder.pyw'
[admin.py:29] - 2023-09-24 12:23:07,373 - INFO - isUserAdmin - CheckTokenMembership returned: True
[PngImagePlugin.py:202] - 2023-09-24 12:23:07,492 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2023-09-24 12:23:07,492 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2023-09-24 12:23:07,492 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:202] - 2023-09-24 12:23:07,493 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2023-09-24 12:23:07,493 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2023-09-24 12:23:07,493 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:202] - 2023-09-24 12:23:07,493 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2023-09-24 12:23:07,493 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2023-09-24 12:23:07,494 - DEBUG - STREAM b'IDAT' 54 8192
[PngImagePlugin.py:202] - 2023-09-24 12:23:07,494 - DEBUG - STREAM b'IHDR' 16 13
[PngImagePlugin.py:202] - 2023-09-24 12:23:07,494 - DEBUG - STREAM b'sRGB' 41 1
[PngImagePlugin.py:202] - 2023-09-24 12:23:07,494 - DEBUG - STREAM b'gAMA' 54 4
[PngImagePlugin.py:202] - 2023-09-24 12:23:07,494 - DEBUG - STREAM b'pHYs' 70 9
